Product ID,SKU,Product Name,Category,Product Type,Size,EAN / Barcode,Units / Carton,Retail Price Brutto EUR,Retail Price Netto EUR,Dealer Basic Netto EUR,Dealer Plus Netto EUR,Authorizer Netto EUR,Dealer Price Netto EUR,VAT Rate,B2C Price Includes VAT,B2B Price Excludes VAT,Commission Base,Stand/Affiliate/Sales Rep Commission %,Status,Notes
P031,HMT-031-AFTSHABALADR,After Shave Balm Adrenaline 500 Ml,After Shave,Balm,500 ML,6291108190838,168,14.99,12.60,4.64,4.37,4.09,4.64,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P032,HMT-032-AFTSHACOLADR,After Shave Cologne Adrenaline 500 Ml,After Shave,Cologne,500 ML,6291108190302,120,13.99,11.76,5.66,5.33,4.99,5.66,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P033,HMT-033-AFTSHACOLADR,After Shave Cologne Adrenaline 175 Ml,After Shave,Cologne,175 ML,6291509648266,860,9.99,8.39,4.21,3.97,3.72,4.21,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P034,HMT-034-AFTSHACOLCOD,After Shave Cologne Code Red 500 Ml,After Shave,Cologne,500 ML,6291109353263,360,13.99,11.76,5.06,4.77,4.47,5.06,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P035,HMT-035-AFTSHACOLCOD,After Shave Cologne Code Red 175 Ml,After Shave,Cologne,175 ML,6291509648273,480,9.99,8.39,4.21,3.97,3.72,4.21,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P036,HMT-036-AFTSHACOLDIA,After Shave Cologne Diamond 500 Ml,After Shave,Cologne,500 ML,6291109353294,240,13.99,11.76,5.06,4.77,4.47,5.06,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P037,HMT-037-AFTSHACOLDIA,After Shave Cologne Diamond 175 Ml,After Shave,Cologne,175 ML,6291509648297,480,9.99,8.39,4.21,3.97,3.72,4.21,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P038,HMT-038-AFTSHACOLDEE,After Shave Cologne Deep Sky 500 Ml,After Shave,Cologne,500 ML,6291108190289,120,13.99,11.76,5.06,4.77,4.47,5.06,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P039,HMT-039-AFTSHACOLDEE,After Shave Cologne Deep Sky 175 Ml,After Shave,Cologne,175 ML,6291509647191,480,9.99,8.39,4.21,3.97,3.72,4.21,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P040,HMT-040-AFTSHACOLEXO,After Shave Cologne Exotic 500 Ml,After Shave,Cologne,500 ML,6291108190296,360,13.99,11.76,5.06,4.77,4.47,5.06,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P041,HMT-041-AFTSHACOLEXO,After Shave Cologne Exotic 175 Ml,After Shave,Cologne,175 ML,6291509648259,384,9.99,8.39,4.21,3.97,3.72,4.21,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P042,HMT-042-AFTSHACOLGOL,After Shave Cologne Golden Sands 500 Ml,After Shave,Cologne,500 ML,6291108197424,384,13.99,11.76,5.06,4.77,4.47,5.06,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P043,HMT-043-AFTSHACOLGOL,After Shave Cologne Golden Sands 175 Ml,After Shave,Cologne,175 ML,6291509647207,384,9.99,8.39,4.21,3.97,3.72,4.21,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P044,HMT-044-AFTSHACOLINF,After Shave Cologne Infinite 500 Ml,After Shave,Cologne,500 ML,6291108190319,120,13.99,11.76,5.06,4.77,4.47,5.06,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P045,HMT-045-AFTSHACOLINF,After Shave Cologne Infinite 175 Ml,After Shave,Cologne,175 ML,6291509647177,240,9.99,8.39,4.21,3.97,3.72,4.21,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P046,HMT-046-AFTSHACOLJAC,After Shave Cologne Jack Of Spades 500 Ml,After Shave,Cologne,500 ML,6291108199046,,13.99,11.76,5.06,4.77,4.47,5.06,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P047,HMT-047-AFTSHACOLMON,After Shave Cologne Monarch Orchid 175 Ml,After Shave,Cologne,175 ML,6291509648280,480,9.99,8.39,4.21,3.97,3.72,4.21,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P048,HMT-048-AFTSHACOLMON,After Shave Cologne Monarch Orchid 500 Ml,After Shave,Cologne,500 ML,6291509647184,192,13.99,11.76,5.06,4.77,4.47,5.06,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P049,HMT-049-AFTSHACOLJAC,After Shave Cologne Jack Of Spades 175 Ml,After Shave,Cologne,175 ML,6291108193211,480,9.99,8.39,4.21,3.97,3.72,4.21,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P050,HMT-050-AQUWAXULTSTR,Aqua Wax Ultra Strong Hold 150 Ml,Hair Styling,Wax,150 ML,6291108190876,240,7.99,6.71,4.47,4.21,3.94,4.47,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P051,HMT-051-AQUWAXMEGHOL,Aqua Wax Mega Hold 150 Ml,Hair Styling,Wax,150 ML,6291108190852,480,7.99,6.71,4.47,4.21,3.94,4.47,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P052,HMT-052-AQUWAXSTRHOL,Aqua Wax Strong Hold 150 Ml,Hair Styling,Wax,150 ML,6291108190883,240,7.99,6.71,4.47,4.21,3.94,4.47,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P053,HMT-053-AQUWAXMAXHOL,Aqua Wax Maximum Hold 150 Ml,Hair Styling,Wax,150 ML,6291108190869,240,7.99,6.71,4.47,4.21,3.94,4.47,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P054,HMT-054-CLAWAX150ML,Clay Wax 150 Ml,Hair Styling,Wax,150 ML,6291109352860,240,9.99,8.39,5.15,4.85,4.54,5.15,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P055,HMT-055-BLAWAX150ML,Black Wax 150 Ml,Hair Styling,Wax,150 ML,6291108191774,240,9.99,8.39,4.55,4.29,4.02,4.55,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P056,HMT-056-GENWAX150ML,Gentle Wax 150 Ml,Hair Styling,Wax,150 ML,6291108193594,480,9.99,8.39,4.64,4.37,4.09,4.64,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P057,HMT-057-SPIWAX150ML,Spider Wax 150 Ml,Hair Styling,Wax,150 ML,6291108191330,480,9.99,8.39,4.72,4.45,4.17,4.72,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P058,HMT-058-MATWAX150ML,Matte Wax 150 Ml,Hair Styling,Wax,150 ML,6291108191781,480,9.99,8.39,4.72,4.45,4.17,4.72,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P059,HMT-059-POWWAX20GR,Powder Wax 20 Gr,Hair Styling,Wax,20 GRR,6291108182857,240,12.99,10.92,7.1,6.69,6.27,7.1,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P060,HMT-060-STYCRE150ML,Styling Cream 150 Ml,Hair Styling,Cream,150 ML,6291108193631,96,8.99,7.55,4.55,4.29,4.02,4.55,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P061,HMT-061-HAIGELCLE500,Hair Gel Clear 500 Ml,Hair Styling,Gel,500 ML,6291108198230,48,12.99,10.92,4.78,4.49,4.21,4.78,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P062,HMT-062-HAIGELCLE100,Hair Gel Clear 1000 Ml,Hair Styling,Gel,1000 ML,6291108198247,48,14.99,12.60,5.74,5.41,5.07,5.74,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P063,HMT-063-HAIGELBLA500,Hair Gel Black 500 Ml,Hair Styling,Gel,500 ML,6291108194386,48,12.99,10.92,5.91,5.57,5.22,5.91,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P064,HMT-064-HAIGELBLA100,Hair Gel Black 1000 Ml,Hair Styling,Gel,1000 ML,6291108192917,48,14.99,12.60,4.78,4.49,4.21,4.78,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P065,HMT-065-HAIGELSTRHOL,Hair Gel Strong Hold (6) 1000 Ml,Hair Styling,Gel,1000 ML,6291108190357,48,11.99,10.08,5.74,5.41,5.07,5.74,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P066,HMT-066-HAIGELSTRHOL,Hair Gel Strong Hold (6) 500 Ml,Hair Styling,Gel,500 ML,6291108194379,48,9.99,8.39,4.78,4.49,4.21,4.78,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
